Region,Year,Hectares
New South Wales,1861,1200
New South Wales,1866,2400
New South Wales,1871,1900
New South Wales,1876,1900
New South Wales,1877,2300
New South Wales,1878,2000
New South Wales,1879,2500
New South Wales,1880,2500
New South Wales,1881,3300
New South Wales,1882,2600
New South Wales,1883,2600
New South Wales,1884,2100
New South Wales,1885,2800
New South Wales,1886,2100
New South Wales,1887,2500
New South Wales,1888,1800
New South Wales,1889,1300
New South Wales,1890,2200
New South Wales,1891,2000
New South Wales,1892,1800
New South Wales,1893,1900
New South Wales,1894,2500
New South Wales,1895,4200
New South Wales,1896,3100
New South Wales,1897,2600
New South Wales,1898,2100
New South Wales,1899,1800
New South Wales,1900,2900
New South Wales,1901,3800
New South Wales,1902,2400
New South Wales,1903,1800
New South Wales,1904,4100
New South Wales,1905,6000
New South Wales,1906,3900
New South Wales,1907,3200
New South Wales,1908,4800
New South Wales,1909,3900
New South Wales,1910,6100
New South Wales,1911,2900
New South Wales,1912,4400
New South Wales,1913,6800
New South Wales,1914,8300
New South Wales,1915,2000
New South Wales,1916,2600
New South Wales,1917,2100
New South Wales,1918,2600
New South Wales,1919,3200
New South Wales,1920,2200
New South Wales,1921,2400
New South Wales,1922,2000
New South Wales,1923,1600
New South Wales,1924,1800
New South Wales,1925,2700
New South Wales,1926,2700
New South Wales,1927,2300
New South Wales,1928,2300
New South Wales,1929,2000
New South Wales,1930,3200
New South Wales,1931,4700
New South Wales,1932,3400
New South Wales,1933,3100
New South Wales,1934,4000
New South Wales,1935,3800
New South Wales,1936,4700
New South Wales,1937,4900
New South Wales,1938,4700
New South Wales,1939,5700
New South Wales,1940,9800
New South Wales,1941,8100
New South Wales,1942,8300
New South Wales,1943,5800
New South Wales,1944,8100
New South Wales,1945,11400
New South Wales,1946,11700
New South Wales,1947,10800
New South Wales,1948,9500
New South Wales,1949,7700
New South Wales,1950,5200
New South Wales,1951,3400
New South Wales,1952,4500
New South Wales,1953,7100
New South Wales,1954,12900
New South Wales,1955,14900
New South Wales,1956,21900
New South Wales,1957,17900
New South Wales,1958,27900
New South Wales,1959,42800
New South Wales,1960,47900
New South Wales,1961,76700
New South Wales,1962,81200
New South Wales,1963,89200
New South Wales,1964,85600
New South Wales,1965,96700
New South Wales,1966,95500
New South Wales,1967,155900
New South Wales,1968,148700
New South Wales,1969,196800
New South Wales,1970,219300
New South Wales,1971,301200
New South Wales,1972,373400
New South Wales,1973,335800
New South Wales,1974,385700
New South Wales,1975,326600
New South Wales,1976,486000
New South Wales,1977,417100
New South Wales,1978,485600
New South Wales,1979,467600
New South Wales,1980,445200
New South Wales,1981,455500
New South Wales,1982,540000
New South Wales,1983,386600
New South Wales,1984,554200
New South Wales,1985,604800
New South Wales,1986,546200
New South Wales,1987,408300
New South Wales,1988,464700
New South Wales,1989,412700
New South Wales,1990,412900
New South Wales,1991,463300
New South Wales,1992,517500
New South Wales,1993,559700
New South Wales,1994,623000
New South Wales,1995,409800
New South Wales,1996,593200
New South Wales,1997,668200
New South Wales,1998,701100
New South Wales,1999,638000
New South Wales,2000,475900
New South Wales,2001,615400
New South Wales,2002,664700
New South Wales,2003,636400
New South Wales,2004,951000
New South Wales,2005,1023100
New South Wales,2006,1103100
New South Wales,2007,901700
New South Wales,2008,1049000
New South Wales,2009,977500
New South Wales,2010,950700
New South Wales,2011,878000
New South Wales,2012,672872
New South Wales,2013,618937
New South Wales,2014,715248
New South Wales,2015,882347
New South Wales,2016,966180
New South Wales,2017,1056379
New South Wales,2018,763470
New South Wales,2019,667931
New South Wales,2020,885403
New South Wales,2021,1370935
New South Wales,2022,1158588
Victoria,1861,1700
Victoria,1866,2800
Victoria,1871,8000
Victoria,1876,12800
Victoria,1877,10100
Victoria,1878,7700
Victoria,1879,9300
Victoria,1880,17500
Victoria,1881,27800
Victoria,1882,19700
Victoria,1883,17700
Victoria,1884,19000
Victoria,1885,25200
Victoria,1886,30000
Victoria,1887,15000
Victoria,1888,16600
Victoria,1889,33800
Victoria,1890,36700
Victoria,1891,35500
Victoria,1892,18200
Victoria,1893,15200
Victoria,1894,19900
Victoria,1895,39400
Victoria,1896,31700
Victoria,1897,25200
Victoria,1898,15100
Victoria,1899,19400
Victoria,1900,32200
Victoria,1901,23800
Victoria,1902,13100
Victoria,1903,15300
Victoria,1904,19300
Victoria,1905,18700
Victoria,1906,16600
Victoria,1907,21400
Victoria,1908,25500
Victoria,1909,26200
Victoria,1910,23700
Victoria,1911,21300
Victoria,1912,21700
Victoria,1913,29000
Victoria,1914,33700
Victoria,1915,25300
Victoria,1916,24800
Victoria,1917,37600
Victoria,1918,34400
Victoria,1919,40500
Victoria,1920,34500
Victoria,1921,38000
Victoria,1922,40500
Victoria,1923,41600
Victoria,1924,22900
Victoria,1925,25800
Victoria,1926,41800
Victoria,1927,36000
Victoria,1928,31100
Victoria,1929,30500
Victoria,1930,39500
Victoria,1931,35400
Victoria,1932,26900
Victoria,1933,37900
Victoria,1934,43000
Victoria,1935,35500
Victoria,1936,47100
Victoria,1937,40500
Victoria,1938,56600
Victoria,1939,71200
Victoria,1940,82700
Victoria,1941,75900
Victoria,1942,82700
Victoria,1943,31500
Victoria,1944,33700
Victoria,1945,52200
Victoria,1946,54300
Victoria,1947,55900
Victoria,1948,66400
Victoria,1949,79200
Victoria,1950,95600
Victoria,1951,87900
Victoria,1952,75400
Victoria,1953,94900
Victoria,1954,151600
Victoria,1955,113600
Victoria,1956,125100
Victoria,1957,139700
Victoria,1958,142300
Victoria,1959,146800
Victoria,1960,112300
Victoria,1961,125200
Victoria,1962,91300
Victoria,1963,78600
Victoria,1964,76900
Victoria,1965,75700
Victoria,1966,77800
Victoria,1967,92100
Victoria,1968,123400
Victoria,1969,165500
Victoria,1970,196900
Victoria,1971,269100
Victoria,1972,295800
Victoria,1973,277100
Victoria,1974,221800
Victoria,1975,243000
Victoria,1976,344300
Victoria,1977,366200
Victoria,1978,418400
Victoria,1979,365400
Victoria,1980,325400
Victoria,1981,302800
