Region,Year,Number
New South Wales,1964-1974,"10341000"
New South Wales,1975-1985,"5943715"
New South Wales,1986- 1996,"4612500"
New South Wales,1997-2008,"5147400"
New South Wales,2008-2022,"5000873"
Victoria,1964-1974,"22699000"
Victoria,1975-1985,"19332300"
Victoria,1986- 1996,"18021700"
Victoria,1997-2008,"23926100"
Victoria,2008-2022,"25846109"
Queensland,1964-1974,"9655729"
Queensland,1975-1985,"4752302"
Queensland,1986- 1996,"3673000"
Queensland,1997-2008,"3310900"
Queensland,2008-2022,"2451814"
South Australia,1964-1974,"2809000"
South Australia,1975-1985,"2035000"
South Australia,1986- 1996,"1776500"
South Australia,1997-2008,"2258200"
South Australia,2008-2022,"2088849"
Western Australia,1964-1974,"2290301"
Western Australia,1975-1985,"1606162"
Western Australia,1986- 1996,"1405700"
Western Australia,1997-2008,"1538000"
Western Australia,2008-2022,"1810757"
Tasmania,1964-1974,"2823871"
Tasmania,1975-1985,"2055750"
Tasmania,1986- 1996,"1829500"
Tasmania,1997-2008,"2656300"
Tasmania,2008-2022,"3916565"
Northern Territory,1964-1974,"8000"
Northern Territory,1975-1985,"1600"
Northern Territory,1986- 1996,"15100"
Northern Territory,1997-2008,"1900"
Northern Territory,2008-2022,75
Australian Capital Territory,1964-1974,"20000"
Australian Capital Territory,1975-1985,"1600"
Australian Capital Territory,1986- 1996,"2500"
Australian Capital Territory,1997-2008,300
Australian Capital Territory,2008-2022,7
