Region,Years,Hectares
New South Wales,2012,3868354
New South Wales,2013,3487448
New South Wales,2014,3269386
New South Wales,2015,3166039
New South Wales,2016,2932741
New South Wales,2017,3248417
New South Wales,2018,2793456
New South Wales,2019,2381953
New South Wales,2020,2132016
New South Wales,2021,4037001
New South Wales,2022,3607705
Victoria,2012,1668929
Victoria,2013,1591922
Victoria,2014,1535818
Victoria,2015,1492657
Victoria,2016,1341512
Victoria,2017,1454196
Victoria,2018,1446793
Victoria,2019,1402863
Victoria,2020,1428857
Victoria,2021,1413422
Victoria,2022,1444578
Queensland,2012,953201
Queensland,2013,865923
Queensland,2014,757955
Queensland,2015,633508
Queensland,2016,611093
Queensland,2017,622197
Queensland,2018,639189
Queensland,2019,419697
Queensland,2020,441477
Queensland,2021,966132
Queensland,2022,940597
South Australia,2012,2249066
South Australia,2013,2118739
South Australia,2014,1926850
South Australia,2015,2045009
South Australia,2016,1769700
South Australia,2017,2178255
South Australia,2018,1975810
South Australia,2019,1820819
South Australia,2020,1720943
South Australia,2021,1830975
South Australia,2022,2008064
Western Australia,2012,5155761
Western Australia,2013,4909209
Western Australia,2014,5114891
Western Australia,2015,5038134
Western Australia,2016,4615761
Western Australia,2017,4677774
Western Australia,2018,4056574
Western Australia,2019,4369200
Western Australia,2020,4132709
Western Australia,2021,4387514
Western Australia,2022,4718004
Tasmania,2012,6617
Tasmania,2013,5990
Tasmania,2014,8176
Tasmania,2015,8326
Tasmania,2016,10545
Tasmania,2017,10303
Tasmania,2018,0
Tasmania,2019,0
Tasmania,2020,7182
Tasmania,2021,8173
Tasmania,2022,9303
Northern Territory,2012,0
Northern Territory,2013,0
Northern Territory,2014,0
Northern Territory,2015,0
Northern Territory,2016,831
Northern Territory,2017,0
Northern Territory,2018,0
Northern Territory,2019,0
Northern Territory,2020,0
Northern Territory,2021,0
Northern Territory,2022,0
Australian Capital Territory,2012,213
Australian Capital Territory,2013,150
Australian Capital Territory,2014,150
Australian Capital Territory,2015,0
Australian Capital Territory,2016,20
Australian Capital Territory,2017,10
Australian Capital Territory,2018,0
Australian Capital Territory,2019,0
Australian Capital Territory,2020,0
Australian Capital Territory,2021,0
Australian Capital Territory,2022,0
